date,time,close,atm_strike,month
28-11-2024,13:15:00,23982.2,24000,November
28-11-2024,13:30:00,23993.85,24000,November
28-11-2024,13:45:00,23974.65,23950,November
28-11-2024,14:00:00,24024.4,24000,November
28-11-2024,14:15:00,23935.0,23950,November
28-11-2024,14:30:00,23988.6,24000,November
28-11-2024,14:45:00,23913.55,23900,November
29-11-2024,09:45:00,24011.5,24000,November
29-11-2024,10:00:00,24046.2,24050,November
29-11-2024,10:15:00,23968.3,23950,November
29-11-2024,10:30:00,24028.2,24050,November
29-11-2024,10:45:00,24097.25,24100,November
29-11-2024,11:00:00,24134.2,24150,November
29-11-2024,11:15:00,24125.4,24150,November
29-11-2024,11:30:00,24139.6,24150,November
29-11-2024,11:45:00,24111.0,24100,November
29-11-2024,12:00:00,24094.15,24100,November
29-11-2024,12:15:00,24120.1,24100,November
29-11-2024,12:30:00,24112.0,24100,November
29-11-2024,12:45:00,24099.15,24100,November
29-11-2024,13:00:00,24125.95,24150,November
29-11-2024,13:15:00,24116.55,24100,November
29-11-2024,13:30:00,24138.7,24150,November
29-11-2024,13:45:00,24140.4,24150,November
29-11-2024,14:00:00,24148.2,24150,November
29-11-2024,14:15:00,24107.55,24100,November
29-11-2024,14:30:00,24142.35,24150,November
29-11-2024,14:45:00,24165.2,24150,November
02-12-2024,09:45:00,24137.6,24150,December
02-12-2024,10:00:00,24131.95,24150,December
02-12-2024,10:15:00,24161.85,24150,December
02-12-2024,10:30:00,24161.8,24150,December
02-12-2024,10:45:00,24120.8,24100,December
02-12-2024,11:00:00,24121.2,24100,December
02-12-2024,11:15:00,24130.75,24150,December
02-12-2024,11:30:00,24152.6,24150,December
02-12-2024,11:45:00,24162.95,24150,December
02-12-2024,12:00:00,24147.1,24150,December
02-12-2024,12:15:00,24143.2,24150,December
02-12-2024,12:30:00,24177.05,24200,December
02-12-2024,12:45:00,24172.95,24150,December
02-12-2024,13:00:00,24182.3,24200,December
02-12-2024,13:15:00,24159.9,24150,December
02-12-2024,13:30:00,24160.9,24150,December
02-12-2024,13:45:00,24176.4,24200,December
02-12-2024,14:00:00,24236.55,24250,December
02-12-2024,14:15:00,24255.8,24250,December
02-12-2024,14:30:00,24269.5,24250,December
02-12-2024,14:45:00,24299.55,24300,December
03-12-2024,09:45:00,24308.45,24300,December
03-12-2024,10:00:00,24343.55,24350,December
03-12-2024,10:15:00,24345.1,24350,December
03-12-2024,10:30:00,24402.0,24400,December
03-12-2024,10:45:00,24416.55,24400,December
03-12-2024,11:00:00,24417.8,24400,December
03-12-2024,11:15:00,24423.1,24400,December
03-12-2024,11:30:00,24435.1,24450,December
03-12-2024,11:45:00,24427.05,24450,December
03-12-2024,12:00:00,24444.55,24450,December
03-12-2024,12:15:00,24426.9,24450,December
03-12-2024,12:30:00,24403.35,24400,December
03-12-2024,12:45:00,24437.5,24450,December
03-12-2024,13:00:00,24429.85,24450,December
03-12-2024,13:15:00,24412.65,24400,December
03-12-2024,13:30:00,24430.1,24450,December
03-12-2024,13:45:00,24453.85,24450,December
03-12-2024,14:00:00,24464.3,24450,December
03-12-2024,14:15:00,24466.05,24450,December
03-12-2024,14:30:00,24468.55,24450,December
03-12-2024,14:45:00,24455.1,24450,December
04-12-2024,09:45:00,24551.95,24550,December
04-12-2024,10:00:00,24549.3,24550,December
