month,date,pair_trades,day_pnl,winning_pairs,losing_pairs,pair_stoploss_exits,max_loss_exits,forced_1459_exits,,,,cost of single trade ,,total trades,,total cost =,,pnl,final pnl
September,3/9/2024,21,8242.5,18,3,0,0,21,,,,,,,,,,,
September,4/9/2024,21,13207.5,20,1,1,0,20,,,,,,,,,,,
September,5/9/2024,21,23422.5,21,0,0,0,21,,,,,,,,,,,
September,6/9/2024,19,-49999.99,0,19,1,18,0,,,,,,,,,,,
September,9/9/2024,21,16365,19,2,0,0,21,,,,,,,,,,,
September,10/9/2024,21,-5100,13,8,4,0,17,,,,,,,,,,,
September,11/9/2024,21,-50000,0,21,18,3,0,,,,,,,,,,,
September,12/9/2024,18,-50000,1,17,17,1,0,,,,,,,,,,,
September,13-09-2024,21,8902.5,14,7,0,0,21,,,,,,,,,,,
September,16-09-2024,21,15345,18,3,0,0,21,,,,,,,,,,,
September,17-09-2024,21,6592.5,17,3,0,0,21,,,,,,,,,,,
September,18-09-2024,16,-49999.99,0,16,6,10,0,,,,,,,,,,,
September,19-09-2024,21,9165,15,6,6,0,15,,,,,,,,,,,
September,20-09-2024,13,-50000,0,13,2,11,0,,,,,,,,,,,
September,23-09-2024,21,13950,12,8,0,0,21,,,,,,,,,,,
September,24-09-2024,21,39765,21,0,0,0,21,,,,,,,,,,,
September,25-09-2024,21,29377.5,21,0,0,0,21,,,,,,,,,,,
September,26-09-2024,21,-25155,5,16,16,0,5,,,,,,,,,,,
September,27-09-2024,21,24675,21,0,0,0,21,,,,,,,,,,,
September,30-09-2024,19,-50000,0,19,3,16,0,,,,,,,,,,,
October,1/10/2024,21,53527.5,21,0,0,0,21,,,,,,,,,,,
October,3/10/2024,21,-38902.5,5,16,16,0,5,,,,,,,,,,,
October,4/10/2024,10,-50000,0,10,0,10,0,,,,,,,,,,,
October,7/10/2024,14,-49999.99,0,14,0,14,0,,,,,,,,,,,
October,8/10/2024,21,48960,14,7,0,0,21,,,,,,,,,,,
October,9/10/2024,21,-12795,6,15,1,0,20,,,,,,,,,,,
October,10/10/2024,21,23302.5,19,2,2,0,19,,,,,,,,,,,
October,11/10/2024,21,30517.5,19,2,0,0,21,,,,,,,,,,,
October,14-10-2024,21,17610,18,3,0,0,21,,,,,,,,,,,
October,15-10-2024,21,18307.5,19,2,1,0,20,,,,,,,,,,,
October,16-10-2024,21,9255,16,5,5,0,16,,,,,,,,,,,
October,17-10-2024,21,22725,21,0,0,0,21,,,,,,,,,,,
October,18-10-2024,21,8347.5,14,7,0,0,21,,,,,,,,,,,
October,21-10-2024,21,36300,21,0,0,0,21,,,,,,,,,,,
October,22-10-2024,21,-36375,3,17,4,0,17,,,,,,,,,,,
October,23-10-2024,21,30007.5,13,8,3,0,18,,,,,,,,,,,
October,24-10-2024,21,18967.5,20,1,1,0,20,,,,,,,,,,,
October,25-10-2024,21,17602.5,19,2,1,0,20,,,,,,,,,,,
October,28-10-2024,21,8100,19,2,1,0,20,,,,,,,,,,,
October,29-10-2024,18,-50000,2,16,5,13,0,,,,,,,,,,,
October,30-10-2024,21,35805,20,1,1,0,20,,,,,,,,,,,
October,31-10-2024,21,22387.5,21,0,0,0,21,,,,,,,,,,,
November,4/11/2024,21,41805,21,0,0,0,21,,,,,,,,,,,
November,5/11/2024,20,-50000,5,15,0,20,0,,,,,,,,,,,
November,6/11/2024,21,42952.5,19,2,0,0,21,,,,,,,,,,,
November,7/11/2024,21,22710,18,3,3,0,18,,,,,,,,,,,
November,8/11/2024,21,46545,19,2,0,0,21,,,,,,,,,,,
November,11/11/2024,21,-795,14,7,3,0,18,,,,,,,,,,,
November,12/11/2024,13,-50000,0,13,8,5,0,,,,,,,,,,,
November,13-11-2024,20,-49999.99,0,20,6,14,0,,,,,,,,,,,
November,14-11-2024,21,35572.5,20,1,1,0,20,,,,,,,,,,,
November,18-11-2024,21,43380,21,0,0,0,21,,,,,,,,,,,
November,19-11-2024,21,-49999.99,0,21,13,8,0,,,,,,,,,,,
November,21-11-2024,21,24465,21,0,0,0,21,,,,,,,,,,,
November,22-11-2024,10,-49999.99,0,10,0,10,0,,,,,,,,,,,
November,25-11-2024,13,-50000,0,13,0,13,0,,,,,,,,,,,
November,26-11-2024,21,25650,16,5,0,0,21,,,,,,,,,,,
November,27-11-2024,17,-50000,0,17,11,6,0,,,,,,,,,,,
November,28-11-2024,18,-50000,0,18,10,8,0,,,,,,,,,,,
November,29-11-2024,21,59670,21,0,0,0,21,,,,,,,,,,,
December,2/12/2024,17,-50000,0,17,0,17,0,,,,,,,,,,,
December,3/12/2024,21,12630,20,1,0,0,21,,,,,,,,,,,
December,4/12/2024,9,-50000,1,7,7,2,0,,,,,,,,,,,
December,5/12/2024,10,-50000,0,10,0,10,0,,,,,,,,,,,
December,6/12/2024,21,73327.5,21,0,0,0,21,,,,,,,,,,,
December,9/12/2024,21,47370,21,0,0,0,21,,,,,,,,,,,
December,10/12/2024,21,18945,16,5,0,0,21,,,,,,,,,,,
December,11/12/2024,21,28147.5,19,1,0,0,21,,,,,,,,,,,
December,12/12/2024,21,49680,21,0,0,0,21,,,,,,,,,,,
December,13-12-2024,9,-49999.99,0,9,2,7,0,,,,,,,,,,,
December,16-12-2024,21,57832.5,21,0,0,0,21,,,,,,,,,,,
December,17-12-2024,21,85492.5,21,0,0,0,21,,,,,,,,,,,
December,18-12-2024,21,8512.5,15,6,0,0,21,,,,,,,,,,,
December,19-12-2024,21,40230,20,1,1,0,20,,,,,,,,,,,
December,20-12-2024,21,-50000,2,19,1,20,0,,,,,,,,,,,
December,23-12-2024,21,10125,16,5,3,0,18,,,,,,,,,,,
December,24-12-2024,21,15870,19,2,0,0,21,,,,,,,,,,,
December,26-12-2024,21,-16147.5,8,13,13,0,8,,,,,,,,,,,
December,27-12-2024,21,34822.5,18,3,0,0,21,,,,,,,,,,,
December,30-12-2024,9,-50000,0,9,7,2,0,,,,,,,,,,,
December,31-12-2024,18,-49999.99,0,18,3,15,0,,,,,,,,,,,
